Balancete/Balanco Geral (Documentos: 4010 - 4016 - 4020 - 4026)
Data de geracao dos dados: 2017-11-01
Fonte: Instituicoes financeiras
#DATA_BASE;DOCUMENTO;CNPJ;AGENCIA;NOME_INSTITUICAO;COD_CONGL;NOME_CONGL;TAXONOMIA;CONTA;NOME_CONTA;SALDO;REALIZAVEL ATE 3M;REALIZAVEL APOS 3M
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;10000007;CIRCULANTE E REALIZAVEL A LONGO PRAZO;1317536476039,95;697698793218,04;619837682821,91
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;11000006;DISPONIBILIDADES;10087206346,08;10087206346,08;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;11100009;Caixa;8309353937,10;8309353937,10;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;11300005;Reservas Livres;626025390,00;626025390,00;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;11500001;Disponibilidades Em Moedas Estrangeiras;1151827018,98;1151827018,98;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;12000005;APLICACOES INTERFINANCEIRAS DE LIQUIDEZ;414557391542,27;410898167291,37;3659224250,90
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;12100008;Aplicacoes Em Operacoes Compromissadas;393239883069,10;393239883069,10;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;12200001;Aplicacoes Em Depositos Interfinanceiros;4137161570,20;3908029209,52;229132360,68
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;12600003;Aplicacoes Em Moedas Estrangeiras;17180346902,97;13750255012,75;3430091890,22
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;13000004;TITULOS E VALORES MOBILIARIOS E INSTRUMENTOS FINANCEIROS DERIVATIVOS;126853374291,78;1277390297,17;125575983994,61
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;13100007;Livres;77993266886,31;955409582,39;77037857303,92
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;13200000;Vinculados A Operacoes Compromissadas;46155705305,90;0,00;46155705305,90
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;13300003;Instrumentos Financeiros Derivativos;955217712,62;321980714,78;633236997,84
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;13600002;Vinculados A Prestacao De Garantias;1749184386,95;0,00;1749184386,95
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;14000003;RELACOES INTERFINANCEIRAS;69848647865,19;69306218777,12;542429088,07
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;14100006;Direitos Junto A Participantes De Sistemas De Liquidação;3128919060,81;3128919060,81;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;14200009;Creditos Vinculados;64267254277,72;64267254277,72;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;14300002;Repasses Interfinanceiros;545378315,35;2949227,28;542429088,07
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;14400005;Relacoes Com Correspondentes;1907096211,31;1907096211,31;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;15000002;RELACOES INTERDEPENDENCIAS;132790403,83;132790403,83;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;15200008;Transferencias Internas De Recursos;132790403,83;132790403,83;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;16000001;OPERACOES DE CREDITO;520580688524,81;108281763490,20;412298925034,61
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;16100004;Empréstimos e Direitos Creditórios Descontados;187188329612,19;63153333957,69;124034995654,50
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;16200007;Financiamentos;129072927388,04;12329228311,75;116743699076,29
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;16300000;Financiamentos Rurais;185046628315,16;40320242320,29;144726385994,87
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;16400003;Financiamentos Imobiliarios;53090941351,89;0,00;53090941351,89
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;16600009;Financiamentos De Infraestrutura E Desenvolvimento;210344,90;0,00;210344,90
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;16800005;Operacoes De Credito Vinculadas A Cessao;580182684,13;0,00;580182684,13
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;16900008;(-) Provisoes Para Operacoes De Credito;-34398531171,50;-7521041099,53;-26877490071,97
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;18000009;OUTROS CREDITOS;175084925537,75;97324065745,93;77760859791,82
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;18100002;Avais E Fiancas Honrados;741804675,22;617324393,80;124480281,42
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;18200005;Carteira De Cambio;16873103157,62;9282050844,76;7591052312,86
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;18300008;Rendas A Receber;1540900709,16;1336968662,60;203932046,56
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;18400001;Negociacao E Intermediacao De Valores;28614999,45;28614999,45;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;18500004;Creditos Especificos;388786475,28;0,00;388786475,28
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;18800003;Diversos;158107290583,68;87773539277,48;70333751306,20
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;18900006;(-) Provisoes Para Outros Creditos;-2595575062,66;-1714432432,16;-881142630,50
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;19000008;OUTROS VALORES E BENS;391451528,24;391190866,34;260661,90
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;19800002;Outros Valores E Bens;169817641,33;169817641,33;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;19900005;Despesas Antecipadas;221633886,91;221373225,01;260661,90
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;20000004;PERMANENTE;49013281989,69;0,00;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;21000003;INVESTIMENTOS;34099314452,38;0,00;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;21100006;Investimentos No Exterior;10784825633,81;0,00;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;21200009;Participacoes Em Coligadas E Controladas No Pais;23264294306,31;0,00;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;21300002;Investimentos Por Incentivos Fiscais;6753908,46;0,00;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;21400005;Titulos Patrimoniais;56903,12;0,00;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;21500008;Acoes E Cotas;40901088,21;0,00;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;21900000;Outros Investimentos;2482612,47;0,00;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;22000002;IMOBILIZADO DE USO;7086396412,16;0,00;0,00
201703;4010;00000000;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;22100005;Moveis E Equipamentos Em Estoque;1717605,54;0,00;0,00
